date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,c5h8fire,isoprene_isoprene,isoprene_total,mami,apt,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top,c2h6sfire,other_dms
2020-11-28,3.870000e+01,-9.530000e+01,2.964978e-10,1.174696e-11,1.704156e-11,1.107921e-11,2.556771e-11,5.082819e-09,7.166776e-12,8.945763e-14,5.883082e-13,4.354282e-12,1.908881e-12,6.692380e-14,2.676952e-12,1.572031e-12,6.980406e-13,3.557974e-12,2.770137e-12,2.541410e-12,1.582592e-12,8.753745e-13,1.801577e-12,7.251490e-14,8.322270e-13,3.020324e-13,4.522580e-13,2.801198e-14,1.410483e-13,8.039327e-14,3.658783e-13,1.015999e-13,1.391786e-11,6.889197e-13,6.980406e-13,1.530482e-11,7.095391e-12,7.823024e-13,1.572031e-12,9.449725e-12,1.801577e-12,3.552326e-12,7.251490e-14,5.426418e-12,6.328111e-12,2.541410e-12,7.256233e-12,1.612575e-11,6.692380e-14,6.692380e-14,2.964978e-10,1.107921e-11,2.556771e-11,1.704156e-11,5.082819e-09,5.433006e-09,,,,,,,,,
2020-11-28,3.890000e+01,-1.221000e+02,1.778987e-10,1.762044e-11,1.704156e-11,4.154703e-12,1.534063e-11,1.976652e-09,7.166776e-12,3.478908e-14,2.941541e-13,2.177141e-12,9.544406e-13,,1.338476e-12,5.716478e-13,7.445766e-13,3.953304e-12,5.540274e-12,2.117841e-12,2.215629e-12,4.376872e-13,9.007886e-13,1.208582e-13,3.467612e-13,7.550811e-14,6.460829e-14,7.002996e-15,6.268811e-14,1.113137e-13,4.529922e-13,1.306285e-13,2.013022e-11,7.576225e-13,7.445766e-13,2.163242e-11,3.478343e-12,1.471194e-13,5.716478e-13,4.197110e-12,9.007886e-13,1.776163e-12,1.208582e-13,2.797810e-12,9.493578e-12,2.117841e-12,7.201565e-12,1.881298e-11,,,1.778987e-10,4.154703e-12,1.534063e-11,1.704156e-11,1.976652e-09,2.191088e-09,7.793657e-13,7.793657e-13,7.793657e-13,,,,,,
2020-11-28,3.930000e+01,-1.215000e+02,4.743965e-10,1.762044e-11,2.726650e-11,1.731126e-11,4.090834e-11,8.188987e-09,1.194463e-11,1.441262e-13,5.883082e-13,6.531423e-12,2.863322e-12,1.338476e-13,4.015428e-12,2.572415e-12,1.070329e-12,5.929956e-12,3.693516e-12,3.812115e-12,2.532148e-12,1.313062e-12,2.702366e-12,1.208582e-13,1.317693e-12,4.908027e-13,7.429953e-13,4.551947e-14,2.037364e-13,1.236819e-13,5.923744e-13,1.596570e-13,2.074090e-11,1.079450e-12,1.070329e-12,2.289068e-11,1.071244e-11,1.279317e-12,2.572415e-12,1.456417e-11,2.702366e-12,5.328489e-12,1.208582e-13,8.151714e-12,9.623472e-12,3.812115e-12,1.208875e-11,2.552434e-11,1.338476e-13,1.338476e-13,4.743965e-10,1.731126e-11,4.090834e-11,2.726650e-11,8.188987e-09,8.748870e-09,3.896828e-13,3.896828e-13,3.896828e-13,,,,,,
2020-11-28,3.950000e+01,-1.221000e+02,2.253383e-09,8.222873e-11,1.261076e-10,7.755446e-11,1.789740e-10,3.642688e-08,5.494528e-11,6.411130e-13,2.941541e-12,3.047997e-11,1.240773e-11,5.019285e-13,1.740019e-11,1.157587e-11,4.839748e-12,2.569648e-11,1.754420e-11,1.778987e-11,1.171118e-11,6.565309e-12,9.908675e-12,5.559475e-13,5.894941e-12,2.265243e-12,3.262718e-12,2.100899e-13,9.403216e-13,5.503847e-13,2.630839e-12,7.111994e-13,9.688145e-11,4.832745e-12,4.839748e-12,1.065539e-10,4.878264e-11,5.738052e-12,1.157587e-11,6.609656e-11,9.908675e-12,2.396549e-11,5.559475e-13,3.443012e-11,4.324067e-11,1.778987e-11,5.558639e-11,1.166169e-10,5.019285e-13,5.019285e-13,2.253383e-09,7.755446e-11,1.789740e-10,1.261076e-10,3.642688e-08,1.224012e+03,1.169048e-12,1.169048e-12,1.169048e-12,7.239940e+02,5.000184e+02,7.239940e+02,5.000184e+02,4.549124e-14,4.549124e-14
2020-11-28,3.970000e+01,-9.690001e+01,2.371983e-10,1.762044e-11,2.385819e-11,5.539604e-12,2.045417e-11,2.259031e-09,9.555701e-12,3.975894e-14,2.941541e-13,2.902855e-12,9.544406e-13,,1.338476e-12,7.145598e-13,9.772568e-13,5.139296e-12,6.463653e-12,2.541410e-12,2.848666e-12,4.376872e-13,9.007886e-13,1.571156e-13,4.854658e-13,1.132622e-13,6.460829e-14,7.002996e-15,7.836014e-14,1.422342e-13,5.923744e-13,1.669141e-13,2.076326e-11,9.798829e-13,9.772568e-13,2.272040e-11,4.342761e-12,1.848734e-13,7.145598e-13,5.242195e-12,9.007886e-13,1.776163e-12,1.571156e-13,2.834067e-12,1.160295e-11,2.541410e-12,9.595460e-12,2.373982e-11,,,2.371983e-10,5.539604e-12,2.045417e-11,2.385819e-11,2.259031e-09,2.546081e-09,7.793657e-13,7.793657e-13,7.793657e-13,,,,,,
2020-11-28,3.970000e+01,-1.217000e+02,2.371983e-10,5.873481e-12,1.022494e-11,7.270730e-12,1.789740e-11,3.388547e-09,4.777850e-12,5.963842e-14,2.941541e-13,2.902855e-12,9.544406e-13,3.346190e-14,1.338476e-12,1.143296e-12,4.653604e-13,2.371983e-12,1.846758e-12,1.694273e-12,9.495554e-13,4.376872e-13,9.007886e-13,4.834326e-14,5.548180e-13,2.265243e-13,2.907373e-13,2.100899e-14,9.403216e-14,4.947278e-14,2.439189e-13,6.531424e-14,7.117190e-12,4.527381e-13,4.653604e-13,8.035289e-12,4.412113e-12,5.382706e-13,1.143296e-12,6.093679e-12,9.007886e-13,1.776163e-12,4.834326e-14,2.725295e-12,4.218740e-12,1.694273e-12,4.837489e-12,1.075050e-11,3.346190e-14,3.346190e-14,2.371983e-10,7.270730e-12,1.789740e-11,1.022494e-11,3.388547e-09,3.661138e-09,,,,,,,,,
2020-11-28,3.970000e+01,-1.223000e+02,1.126692e-09,1.057226e-10,1.226993e-10,2.804424e-11,9.971408e-11,1.214229e-08,4.538958e-11,2.137043e-13,2.059079e-12,1.669142e-11,6.681085e-12,6.692380e-14,6.692379e-12,3.429887e-12,4.932820e-12,2.569648e-11,3.324164e-11,1.355419e-11,1.487637e-11,2.188436e-12,4.503943e-12,8.097496e-13,2.427329e-12,6.040649e-13,3.230414e-13,3.851648e-14,3.761287e-13,7.173553e-13,2.979295e-12,8.490850e-13,1.226581e-10,4.921864e-12,4.932820e-12,1.325128e-10,2.579983e-11,9.656228e-13,3.429887e-12,3.019534e-11,4.503943e-12,8.880815e-12,8.097496e-13,1.419451e-11,5.893812e-11,1.355419e-11,4.560329e-11,1.180956e-10,6.692380e-14,6.692380e-14,1.126692e-09,2.804424e-11,9.971408e-11,1.226993e-10,1.214229e-08,1.136372e+03,5.065877e-12,5.065877e-12,5.065877e-12,6.590923e+02,4.772800e+02,6.590923e+02,4.772800e+02,,
2020-11-28,3.990000e+01,-1.223000e+02,5.336961e-10,5.286133e-11,6.134963e-11,1.454146e-11,5.113543e-11,6.212335e-09,2.150033e-11,1.093371e-13,8.824622e-13,8.708564e-12,2.863322e-12,3.346190e-14,4.015428e-12,1.714943e-12,2.512946e-12,1.304590e-11,1.754420e-11,6.777093e-12,7.596443e-12,1.313062e-12,1.801577e-12,4.109177e-13,1.248341e-12,3.397865e-13,1.938249e-13,2.100899e-14,1.880643e-13,3.648617e-13,1.533204e-12,4.354282e-13,6.134023e-11,2.521558e-12,2.512946e-12,6.637474e-11,1.282023e-11,5.546203e-13,1.714943e-12,1.508979e-11,1.801577e-12,5.328489e-12,4.109177e-13,7.540984e-12,3.059010e-11,6.777093e-12,2.160967e-11,5.897687e-11,3.346190e-14,3.346190e-14,5.336961e-10,1.454146e-11,5.113543e-11,6.134963e-11,6.212335e-09,6.873058e-09,2.338097e-12,2.338097e-12,2.338097e-12,,,,,,
2020-11-28,4.010000e+01,-9.709999e+01,4.150969e-10,3.524088e-11,4.089976e-11,9.694307e-12,3.579480e-11,4.235683e-09,1.672248e-11,7.454802e-14,5.883082e-13,5.805710e-12,2.863322e-12,3.346190e-14,2.676952e-12,1.143296e-12,1.721833e-12,9.092600e-12,1.200393e-11,4.659251e-12,5.380814e-12,8.753745e-13,9.007886e-13,2.900596e-13,8.322270e-13,2.265243e-13,1.292166e-13,1.400599e-14,1.410483e-13,2.535480e-13,1.045367e-12,2.975426e-13,4.121000e-11,1.737505e-12,1.721833e-12,4.466934e-11,9.501258e-12,3.697469e-13,1.143296e-12,1.101430e-11,9.007886e-13,3.552326e-12,2.900596e-13,4.743175e-12,2.109653e-11,4.659251e-12,1.679703e-11,4.255280e-11,3.346190e-14,3.346190e-14,4.150969e-10,9.694307e-12,3.579480e-11,4.089976e-11,4.235683e-09,4.737169e-09,1.558731e-12,1.558731e-12,1.558731e-12,,,,,,
2020-11-28,4.190000e+01,-9.670000e+01,2.371983e-10,1.762044e-11,2.385819e-11,5.193379e-12,1.789740e-11,2.259031e-09,7.166776e-12,3.975894e-14,2.941541e-13,2.902855e-12,9.544406e-13,,1.338476e-12,5.716478e-13,9.307208e-13,4.743965e-12,6.463653e-12,2.541410e-12,2.848666e-12,4.376872e-13,9.007886e-13,1.450298e-13,4.161135e-13,1.132622e-13,6.460829e-14,7.002996e-15,7.836014e-14,1.298660e-13,5.575288e-13,1.596570e-13,2.076326e-11,9.254121e-13,9.307208e-13,2.261939e-11,4.273409e-12,1.848734e-13,5.716478e-13,5.029930e-12,9.007886e-13,1.776163e-12,1.450298e-13,2.821982e-12,1.120762e-11,2.541410e-12,7.206535e-12,2.095556e-11,,,2.371983e-10,5.193379e-12,1.789740e-11,2.385819e-11,2.259031e-09,2.543178e-09,7.793657e-13,7.793657e-13,7.793657e-13,,,,,,
