date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,c5h8fire,terpenesfire,isoprene_isoprene,isoprene_total,terpenes_monoterpenes,terpenes_total,mami,apt,c2h6sfire,other_dms,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top
2018-08-20,4.090000e+01,-1.225000e+02,1.222640e-09,5.591525e-11,6.589344e-11,3.944502e-11,1.487195e-10,1.158342e-08,2.274245e-11,2.038682e-13,3.267055e-12,1.366728e-11,6.057486e-12,1.061852e-11,5.485907e-12,3.314016e-12,2.495995e-11,1.172070e-11,7.791007e-12,8.297203e-12,4.861222e-12,5.716976e-12,5.617958e-13,3.276949e-12,1.063358e-12,1.083050e-12,6.139212e-14,1.487311e-12,8.687565e-13,5.907544e-13,3.683527e-13,6.747951e-11,3.315175e-12,3.314016e-12,7.410870e-11,2.300171e-11,2.207800e-12,5.485907e-12,3.069542e-11,5.716976e-12,1.547974e-11,5.617958e-13,2.175851e-11,3.668065e-11,7.791007e-12,2.294632e-11,6.741797e-11,1.222640e-09,3.944502e-11,1.487195e-10,6.589344e-11,1.158342e-08,5.236278e+02,1.236587e-12,2.579627e-12,1.236587e-12,1.236587e-12,2.579627e-12,2.579627e-12,3.563457e+02,1.672821e+02,9.394153e-13,9.394153e-13,3.563457e+02,1.672821e+02
2018-08-20,4.110000e+01,-1.237000e+02,5.196221e-09,2.329802e-10,2.800471e-10,1.676413e-10,6.320580e-10,4.922953e-08,9.096981e-11,8.664397e-13,1.306822e-11,5.808592e-11,2.725868e-11,4.884520e-11,2.331511e-11,1.408457e-11,1.060798e-10,4.688279e-11,3.311178e-11,3.526311e-11,1.944489e-11,2.572639e-11,2.387632e-12,1.392703e-11,4.519271e-12,4.602961e-12,2.609165e-13,6.321072e-12,3.692215e-12,2.510706e-12,1.565499e-12,2.813115e-10,1.408949e-11,1.408457e-11,3.094856e-10,9.927164e-11,9.383149e-12,2.331511e-11,1.319699e-10,2.572639e-11,6.829008e-11,2.387632e-12,9.640411e-11,1.529626e-10,3.311178e-11,9.183625e-11,2.779106e-10,5.196221e-09,1.676413e-10,6.320580e-10,2.800471e-10,4.922953e-08,5.550949e-08,4.946349e-12,1.096342e-11,4.946349e-12,4.946349e-12,1.096342e-11,1.096342e-11,,,3.992515e-12,3.992515e-12,,
2018-08-20,4.130000e+01,-1.209000e+02,7.244144e-08,2.637336e-09,4.019500e-09,2.499828e-09,5.818651e-09,1.177165e-06,1.732217e-09,2.071810e-11,1.017454e-10,9.891691e-10,4.013084e-10,5.521631e-10,3.744132e-10,1.561730e-10,8.330384e-10,5.845697e-10,5.687436e-10,3.806342e-10,2.083381e-10,3.272968e-10,1.769657e-11,1.896534e-10,7.257418e-11,1.055973e-10,6.714763e-12,3.030396e-11,1.780951e-11,8.529016e-11,2.297600e-11,3.119716e-09,1.563796e-10,1.561730e-10,3.432268e-09,1.580131e-09,1.848863e-10,3.744132e-10,2.139430e-09,3.272968e-10,7.605012e-10,1.769657e-11,1.105495e-09,1.417608e-09,5.687436e-10,1.752935e-09,3.739287e-09,7.244144e-08,2.499828e-09,5.818651e-09,4.019500e-09,1.177165e-06,4.750217e+02,3.029639e-11,1.709003e-11,3.029639e-11,3.029639e-11,1.709003e-11,1.709003e-11,2.500206e+02,2.250011e+02,1.291696e-12,1.291696e-12,2.500206e+02,2.250011e+02
2018-08-20,4.130000e+01,-1.211000e+02,9.781123e-09,3.541299e-10,5.353842e-10,3.352826e-10,7.807775e-10,1.578241e-07,2.312149e-10,2.777704e-12,1.353494e-11,1.332559e-10,5.300300e-11,7.432965e-11,5.005890e-11,2.112686e-11,1.123198e-10,7.911470e-11,7.596233e-11,5.082037e-11,2.777841e-11,4.430657e-11,2.387632e-12,2.539636e-11,9.703141e-12,1.407965e-11,8.978598e-13,4.090105e-12,2.389080e-12,1.144587e-11,3.084954e-12,4.184852e-10,2.101001e-11,2.112686e-11,4.606221e-10,2.116553e-10,2.468065e-11,5.005890e-11,2.863949e-10,4.430657e-11,1.021081e-10,2.387632e-12,1.488023e-10,1.914345e-10,7.596233e-11,2.339926e-10,5.013894e-10,9.781123e-09,3.352826e-10,7.807775e-10,5.353842e-10,1.578241e-07,4.963087e+02,4.328055e-12,2.257174e-12,4.328055e-12,4.328055e-12,2.257174e-12,2.257174e-12,2.711169e+02,2.251919e+02,1.174269e-13,1.174269e-13,2.711169e+02,2.251919e+02
2018-08-20,4.150000e+01,-1.209000e+02,2.216036e-08,8.107711e-10,1.235502e-09,7.691778e-10,1.784634e-09,3.619818e-07,5.306572e-10,6.370880e-12,3.127038e-11,3.040969e-10,1.226641e-10,1.698963e-10,1.152041e-10,4.805324e-11,2.558395e-10,1.802057e-10,1.743238e-10,1.171980e-10,6.389034e-11,1.000471e-10,5.407285e-12,5.816585e-11,2.233052e-11,3.235611e-11,2.064310e-12,9.295694e-12,5.429728e-12,2.621472e-11,7.044746e-12,9.592396e-10,4.798489e-11,4.805324e-11,1.055278e-09,4.849268e-10,5.675094e-11,1.152041e-10,6.568818e-10,1.000471e-10,2.337867e-10,5.407285e-12,3.392411e-10,4.360452e-10,1.743238e-10,5.370281e-10,1.147397e-09,2.216036e-08,7.691778e-10,1.784634e-09,1.235502e-09,3.619818e-07,4.636122e+02,9.274404e-12,5.159255e-12,9.274404e-12,9.274404e-12,5.159255e-12,5.159255e-12,2.454397e+02,2.181725e+02,3.522807e-13,3.522807e-13,2.454397e+02,2.181725e+02
2018-08-20,4.150000e+01,-1.211000e+02,3.178865e-08,1.155582e-09,1.762649e-09,1.099530e-09,2.546822e-09,5.169101e-07,7.618722e-10,9.097618e-12,4.480532e-11,4.339360e-10,1.756671e-10,2.421023e-10,1.645772e-10,6.876583e-11,3.650393e-10,2.563903e-10,2.493122e-10,1.669812e-10,9.166876e-11,1.429244e-10,7.724693e-12,8.315259e-11,3.190074e-11,4.630037e-11,2.946822e-12,1.338580e-11,7.818808e-12,3.743906e-11,1.008366e-11,1.367368e-09,6.872732e-11,6.876583e-11,1.504862e-09,6.927557e-10,8.114794e-11,1.645772e-10,9.384808e-10,1.429244e-10,3.337710e-10,7.724693e-12,4.844202e-10,6.214296e-10,2.493122e-10,7.709698e-10,1.641712e-09,3.178865e-08,1.099530e-09,2.546822e-09,1.762649e-09,5.169101e-07,4.503990e+02,1.298417e-11,7.416429e-12,1.298417e-11,1.298417e-11,7.416429e-12,7.416429e-12,2.609906e+02,1.894084e+02,5.871346e-13,5.871346e-13,2.609906e+02,1.894084e+02
2018-08-20,4.170000e+01,-1.163000e+02,7.641502e-10,2.795763e-11,4.118340e-11,2.465314e-11,5.576982e-11,1.303135e-08,1.895204e-11,2.293517e-13,9.334442e-13,1.025046e-11,4.543113e-12,6.371113e-12,4.114430e-12,2.071260e-12,9.359982e-12,7.325435e-12,5.843255e-12,4.148602e-12,2.083381e-12,4.287732e-12,2.106734e-13,2.048093e-12,7.975184e-13,1.083050e-12,7.674016e-14,3.718278e-13,2.171891e-13,9.599759e-13,2.302205e-13,3.303967e-11,1.779213e-12,2.071260e-12,3.689014e-11,1.684166e-11,1.957308e-12,4.114430e-12,2.291340e-11,4.287732e-12,8.454493e-12,2.106734e-13,1.295290e-11,1.668542e-11,5.843255e-12,1.918140e-11,4.171007e-11,7.641502e-10,2.465314e-11,5.576982e-11,4.118340e-11,1.303135e-08,2.749951e+03,,,,,,,1.387470e+03,1.362481e+03,,,1.387470e+03,1.362481e+03
2018-08-20,4.170000e+01,-1.161000e+02,2.009715e-07,7.324898e-09,1.114423e-08,6.942323e-09,1.613607e-08,3.267972e-06,4.806238e-09,5.751631e-11,2.828336e-10,2.747123e-09,1.113063e-09,1.533314e-09,1.038894e-09,4.337219e-10,2.311916e-09,1.623316e-09,1.577679e-09,1.056856e-09,5.784854e-10,9.075699e-10,4.901668e-11,5.263600e-10,2.012405e-10,2.928296e-10,1.863251e-11,8.440490e-11,4.930193e-11,2.365971e-10,6.372503e-11,8.664587e-09,4.340290e-10,4.337219e-10,9.532338e-09,4.386545e-09,5.127025e-10,1.038894e-09,5.938142e-09,9.075699e-10,2.111800e-09,4.901668e-11,3.068386e-09,3.935232e-09,1.577679e-09,4.863754e-09,1.037666e-08,2.009715e-07,6.942323e-09,1.613607e-08,1.114423e-08,3.267972e-06,8.217457e+02,8.408794e-11,4.707820e-11,8.408794e-11,8.408794e-11,4.707820e-11,4.707820e-11,2.626382e+02,5.591076e+02,3.640234e-12,3.640234e-12,2.626382e+02,5.591076e+02
2018-08-20,4.190000e+01,-1.161000e+02,2.475847e-08,9.039632e-10,1.367289e-09,8.529985e-10,1.989124e-09,4.010759e-07,5.913038e-10,7.058935e-12,3.453744e-11,3.382651e-10,1.362934e-10,1.890097e-10,1.275474e-10,5.343851e-11,2.839195e-10,1.992519e-10,1.938013e-10,1.296438e-10,7.083494e-11,1.114810e-10,6.039305e-12,6.471975e-11,2.472307e-11,3.601140e-11,2.286856e-12,1.041118e-11,6.081295e-12,2.909465e-11,7.827496e-12,1.068144e-09,5.341462e-11,5.343851e-11,1.174998e-09,5.392782e-10,6.302133e-11,1.275474e-10,7.298469e-10,1.114810e-10,2.598446e-10,6.039305e-12,3.773649e-10,4.831713e-10,1.938013e-10,5.983627e-10,1.275335e-09,2.475847e-08,8.529985e-10,1.989124e-09,1.367289e-09,4.010759e-07,2.999802e+02,1.051099e-11,5.804162e-12,1.051099e-11,1.051099e-11,5.804162e-12,5.804162e-12,1.999924e+02,9.998779e+01,4.697077e-13,4.697077e-13,1.999924e+02,9.998779e+01
2018-08-20,4.190000e+01,-1.235000e+02,3.362261e-08,1.519031e-09,1.812069e-09,1.084738e-09,4.089787e-09,3.185440e-07,5.988846e-10,5.606375e-12,8.587686e-11,3.758501e-10,1.817246e-10,3.121845e-10,1.508625e-10,9.113546e-11,6.863988e-10,3.105985e-10,2.142527e-10,2.281731e-10,1.284751e-10,1.700801e-10,1.544939e-11,9.011611e-11,2.924234e-11,2.978387e-11,1.688283e-12,4.090105e-11,2.389080e-11,1.624574e-11,1.012970e-11,1.833081e-09,9.116730e-11,9.113546e-11,2.015384e-09,6.476908e-10,6.071449e-11,1.508625e-10,8.592678e-10,1.700801e-10,4.406597e-10,1.544939e-11,6.261891e-10,9.969973e-10,2.142527e-10,6.044910e-10,1.815741e-09,3.362261e-08,1.084738e-09,4.089787e-09,1.812069e-09,3.185440e-07,6.165497e+02,3.276956e-11,7.093975e-11,3.276956e-11,3.276956e-11,7.093975e-11,7.093975e-11,2.864869e+02,3.300627e+02,2.583392e-11,2.583392e-11,2.864869e+02,3.300627e+02
2018-08-20,4.230000e+01,-1.237000e+02,8.589048e-08,3.895429e-09,4.629014e-09,2.771013e-09,1.044755e-08,8.137352e-07,1.535116e-09,1.432174e-11,2.198261e-10,9.601262e-10,4.664264e-10,8.006365e-10,3.853850e-10,2.328096e-10,1.753437e-09,7.970073e-10,5.473183e-10,5.828785e-10,3.277852e-10,4.330609e-10,3.946616e-11,2.302057e-10,7.470089e-11,7.608424e-11,4.312797e-12,1.044836e-10,6.103014e-11,4.150049e-11,2.587678e-11,4.698133e-09,2.328910e-10,2.328096e-10,5.163834e-09,1.656758e-09,1.550979e-10,3.853850e-10,2.197241e-09,4.330609e-10,1.128422e-09,3.946616e-11,1.600949e-09,2.550444e-09,5.473183e-10,1.549437e-09,4.647200e-09,8.589048e-08,2.771013e-09,1.044755e-08,4.629014e-09,8.137352e-07,4.122625e+02,8.346964e-11,1.812188e-10,8.346964e-11,8.346964e-11,1.812188e-10,1.812188e-10,2.913692e+02,1.208933e+02,6.599393e-11,6.599393e-11,2.913692e+02,1.208933e+02
